Compound,Date,Negative,Neutral,Organization,Positive,Tweets Ago
0.6847,Tue Nov 05 17:20:57 +0000 2019,0.686,0.051,BBC,0.263,3
0.296,Tue Nov 05 17:20:55 +0000 2019,0.905,0.0,BBC,0.095,4
-0.4019,Tue Nov 05 17:20:54 +0000 2019,0.87,0.13,BBC,0.0,5
-0.5859,Tue Nov 05 17:20:53 +0000 2019,0.798,0.202,BBC,0.0,6
0.0,Tue Nov 05 17:20:51 +0000 2019,1.0,0.0,BBC,0.0,7
-0.1779,Tue Nov 05 17:20:49 +0000 2019,0.712,0.174,BBC,0.114,8
-0.4404,Tue Nov 05 17:20:48 +0000 2019,0.868,0.132,BBC,0.0,9
0.25,Tue Nov 05 17:20:48 +0000 2019,0.913,0.0,BBC,0.087,10
-0.7096,Tue Nov 05 17:20:46 +0000 2019,0.772,0.228,BBC,0.0,11
0.4549,Tue Nov 05 17:20:44 +0000 2019,0.876,0.0,BBC,0.124,12
-0.6249,Tue Nov 05 17:19:57 +0000 2019,0.718,0.282,BBC,0.0,13
0.0,Tue Nov 05 17:16:27 +0000 2019,1.0,0.0,BBC,0.0,14
0.0,Tue Nov 05 17:05:20 +0000 2019,1.0,0.0,BBC,0.0,15
0.5106,Tue Nov 05 16:46:57 +0000 2019,0.845,0.0,BBC,0.155,16
-0.6705,Tue Nov 05 16:20:25 +0000 2019,0.605,0.278,BBC,0.117,17
0.0,Tue Nov 05 16:19:01 +0000 2019,1.0,0.0,BBC,0.0,18
0.0,Tue Nov 05 15:52:29 +0000 2019,1.0,0.0,BBC,0.0,19
0.0,Tue Nov 05 15:48:25 +0000 2019,1.0,0.0,BBC,0.0,20
0.128,Tue Nov 05 17:42:32 +0000 2019,0.786,0.096,BBC,0.118,21
0.5046,Tue Nov 05 17:20:57 +0000 2019,0.767,0.0,BBC,0.233,22
0.6847,Tue Nov 05 17:20:57 +0000 2019,0.686,0.051,BBC,0.263,23
0.296,Tue Nov 05 17:20:55 +0000 2019,0.905,0.0,BBC,0.095,24
-0.4019,Tue Nov 05 17:20:54 +0000 2019,0.87,0.13,BBC,0.0,25
-0.5859,Tue Nov 05 17:20:53 +0000 2019,0.798,0.202,BBC,0.0,26
0.0,Tue Nov 05 17:20:51 +0000 2019,1.0,0.0,BBC,0.0,27
-0.1779,Tue Nov 05 17:20:49 +0000 2019,0.712,0.174,BBC,0.114,28
-0.4404,Tue Nov 05 17:20:48 +0000 2019,0.868,0.132,BBC,0.0,29
0.25,Tue Nov 05 17:20:48 +0000 2019,0.913,0.0,BBC,0.087,30
-0.7096,Tue Nov 05 17:20:46 +0000 2019,0.772,0.228,BBC,0.0,31
0.4549,Tue Nov 05 17:20:44 +0000 2019,0.876,0.0,BBC,0.124,32
-0.6249,Tue Nov 05 17:19:57 +0000 2019,0.718,0.282,BBC,0.0,33
0.0,Tue Nov 05 17:16:27 +0000 2019,1.0,0.0,BBC,0.0,34
0.0,Tue Nov 05 17:05:20 +0000 2019,1.0,0.0,BBC,0.0,35
0.5106,Tue Nov 05 16:46:57 +0000 2019,0.845,0.0,BBC,0.155,36
-0.6705,Tue Nov 05 16:20:25 +0000 2019,0.605,0.278,BBC,0.117,37
0.0,Tue Nov 05 16:19:01 +0000 2019,1.0,0.0,BBC,0.0,38
0.0,Tue Nov 05 15:52:29 +0000 2019,1.0,0.0,BBC,0.0,39
0.0,Tue Nov 05 15:48:25 +0000 2019,1.0,0.0,BBC,0.0,40
0.128,Tue Nov 05 17:42:32 +0000 2019,0.786,0.096,BBC,0.118,41
0.5046,Tue Nov 05 17:20:57 +0000 2019,0.767,0.0,BBC,0.233,42
0.6847,Tue Nov 05 17:20:57 +0000 2019,0.686,0.051,BBC,0.263,43
0.296,Tue Nov 05 17:20:55 +0000 2019,0.905,0.0,BBC,0.095,44
-0.4019,Tue Nov 05 17:20:54 +0000 2019,0.87,0.13,BBC,0.0,45
-0.5859,Tue Nov 05 17:20:53 +0000 2019,0.798,0.202,BBC,0.0,46
0.0,Tue Nov 05 17:20:51 +0000 2019,1.0,0.0,BBC,0.0,47
-0.1779,Tue Nov 05 17:20:49 +0000 2019,0.712,0.174,BBC,0.114,48
-0.4404,Tue Nov 05 17:20:48 +0000 2019,0.868,0.132,BBC,0.0,49
0.25,Tue Nov 05 17:20:48 +0000 2019,0.913,0.0,BBC,0.087,50
-0.7096,Tue Nov 05 17:20:46 +0000 2019,0.772,0.228,BBC,0.0,51
0.4549,Tue Nov 05 17:20:44 +0000 2019,0.876,0.0,BBC,0.124,52
-0.6249,Tue Nov 05 17:19:57 +0000 2019,0.718,0.282,BBC,0.0,53
0.0,Tue Nov 05 17:16:27 +0000 2019,1.0,0.0,BBC,0.0,54
0.0,Tue Nov 05 17:05:20 +0000 2019,1.0,0.0,BBC,0.0,55
0.5106,Tue Nov 05 16:46:57 +0000 2019,0.845,0.0,BBC,0.155,56
-0.6705,Tue Nov 05 16:20:25 +0000 2019,0.605,0.278,BBC,0.117,57
0.0,Tue Nov 05 16:19:01 +0000 2019,1.0,0.0,BBC,0.0,58
0.0,Tue Nov 05 15:52:29 +0000 2019,1.0,0.0,BBC,0.0,59
0.0,Tue Nov 05 15:48:25 +0000 2019,1.0,0.0,BBC,0.0,60
0.128,Tue Nov 05 17:42:32 +0000 2019,0.786,0.096,BBC,0.118,61
0.5046,Tue Nov 05 17:20:57 +0000 2019,0.767,0.0,BBC,0.233,62
0.6847,Tue Nov 05 17:20:57 +0000 2019,0.686,0.051,BBC,0.263,63
0.296,Tue Nov 05 17:20:55 +0000 2019,0.905,0.0,BBC,0.095,64
-0.4019,Tue Nov 05 17:20:54 +0000 2019,0.87,0.13,BBC,0.0,65
-0.5859,Tue Nov 05 17:20:53 +0000 2019,0.798,0.202,BBC,0.0,66
0.0,Tue Nov 05 17:20:51 +0000 2019,1.0,0.0,BBC,0.0,67
-0.1779,Tue Nov 05 17:20:49 +0000 2019,0.712,0.174,BBC,0.114,68
-0.4404,Tue Nov 05 17:20:48 +0000 2019,0.868,0.132,BBC,0.0,69
0.25,Tue Nov 05 17:20:48 +0000 2019,0.913,0.0,BBC,0.087,70
-0.7096,Tue Nov 05 17:20:46 +0000 2019,0.772,0.228,BBC,0.0,71
0.4549,Tue Nov 05 17:20:44 +0000 2019,0.876,0.0,BBC,0.124,72
-0.6249,Tue Nov 05 17:19:57 +0000 2019,0.718,0.282,BBC,0.0,73
0.0,Tue Nov 05 17:16:27 +0000 2019,1.0,0.0,BBC,0.0,74
0.0,Tue Nov 05 17:05:20 +0000 2019,1.0,0.0,BBC,0.0,75
0.5106,Tue Nov 05 16:46:57 +0000 2019,0.845,0.0,BBC,0.155,76
-0.6705,Tue Nov 05 16:20:25 +0000 2019,0.605,0.278,BBC,0.117,77
0.0,Tue Nov 05 16:19:01 +0000 2019,1.0,0.0,BBC,0.0,78
0.0,Tue Nov 05 15:52:29 +0000 2019,1.0,0.0,BBC,0.0,79
0.0,Tue Nov 05 15:48:25 +0000 2019,1.0,0.0,BBC,0.0,80
0.128,Tue Nov 05 17:42:32 +0000 2019,0.786,0.096,BBC,0.118,81
0.5046,Tue Nov 05 17:20:57 +0000 2019,0.767,0.0,BBC,0.233,82
0.6847,Tue Nov 05 17:20:57 +0000 2019,0.686,0.051,BBC,0.263,83
0.296,Tue Nov 05 17:20:55 +0000 2019,0.905,0.0,BBC,0.095,84
-0.4019,Tue Nov 05 17:20:54 +0000 2019,0.87,0.13,BBC,0.0,85
-0.5859,Tue Nov 05 17:20:53 +0000 2019,0.798,0.202,BBC,0.0,86
0.0,Tue Nov 05 17:20:51 +0000 2019,1.0,0.0,BBC,0.0,87
-0.1779,Tue Nov 05 17:20:49 +0000 2019,0.712,0.174,BBC,0.114,88
-0.4404,Tue Nov 05 17:20:48 +0000 2019,0.868,0.132,BBC,0.0,89
0.25,Tue Nov 05 17:20:48 +0000 2019,0.913,0.0,BBC,0.087,90
-0.7096,Tue Nov 05 17:20:46 +0000 2019,0.772,0.228,BBC,0.0,91
0.4549,Tue Nov 05 17:20:44 +0000 2019,0.876,0.0,BBC,0.124,92
-0.6249,Tue Nov 05 17:19:57 +0000 2019,0.718,0.282,BBC,0.0,93
0.0,Tue Nov 05 17:16:27 +0000 2019,1.0,0.0,BBC,0.0,94
0.0,Tue Nov 05 17:05:20 +0000 2019,1.0,0.0,BBC,0.0,95
0.5106,Tue Nov 05 16:46:57 +0000 2019,0.845,0.0,BBC,0.155,96
-0.6705,Tue Nov 05 16:20:25 +0000 2019,0.605,0.278,BBC,0.117,97
0.0,Tue Nov 05 16:19:01 +0000 2019,1.0,0.0,BBC,0.0,98
0.0,Tue Nov 05 15:52:29 +0000 2019,1.0,0.0,BBC,0.0,99
0.0,Tue Nov 05 15:48:25 +0000 2019,1.0,0.0,BBC,0.0,100
0.2263,Tue Nov 05 02:09:15 +0000 2019,0.881,0.0,CBS,0.119,1
0.0,Tue Nov 05 02:01:51 +0000 2019,1.0,0.0,CBS,0.0,2
0.4939,Tue Nov 05 02:01:33 +0000 2019,0.714,0.0,CBS,0.286,3
0.296,Tue Nov 05 02:00:55 +0000 2019,0.896,0.0,CBS,0.104,4
-0.34,Tue Nov 05 01:53:54 +0000 2019,0.426,0.362,CBS,0.213,5
0.0,Tue Nov 05 01:50:51 +0000 2019,1.0,0.0,CBS,0.0,6
0.5499,Tue Nov 05 01:47:33 +0000 2019,0.756,0.0,CBS,0.244,7
0.0,Tue Nov 05 01:46:31 +0000 2019,1.0,0.0,CBS,0.0,8
0.128,Tue Nov 05 01:44:59 +0000 2019,0.909,0.0,CBS,0.091,9
0.0,Tue Nov 05 01:42:50 +0000 2019,1.0,0.0,CBS,0.0,10
0.0,Tue Nov 05 01:40:54 +0000 2019,1.0,0.0,CBS,0.0,11
0.0,Tue Nov 05 01:40:02 +0000 2019,1.0,0.0,CBS,0.0,12
0.0,Tue Nov 05 01:37:52 +0000 2019,1.0,0.0,CBS,0.0,13
0.0,Tue Nov 05 01:37:01 +0000 2019,1.0,0.0,CBS,0.0,14
0.0,Tue Nov 05 01:35:49 +0000 2019,1.0,0.0,CBS,0.0,15
